ku, Kurdi, Kurdî, ftp://ftp.gnu.org/gnu/aspell/dict/ku/aspell5-ku-0.20-1.tar.bz2
ky, Kirghiz, , ftp://ftp.gnu.org/gnu/aspell/dict/ky/aspell6-ky-0.01-0.tar.bz2
la, Latin, , ftp://ftp.gnu.org/gnu/aspell/dict/la/aspell6-la-20020503-0.tar.bz2
lt, Lithuanian, lietuvių, ftp://ftp.gnu.org/gnu/aspell/dict/lt/aspell6-lt-1.2.1-0.tar.bz2
lv, Latvian, , ftp://ftp.gnu.org/gnu/aspell/dict/lv/aspell6-lv-0.5.5-1.tar.bz2
mg, Malagasy, , ftp://ftp.gnu.org/gnu/aspell/dict/mg/aspell5-mg-0.03-0.tar.bz2
mi, Maori, , ftp://ftp.gnu.org/gnu/aspell/dict/mi/aspell-mi-0.50-0.tar.bz2
mk, Macedonian, , ftp://ftp.gnu.org/gnu/aspell/dict/mk/aspell-mk-0.50-0.tar.bz2
ml, Malayalam, മലയാളം, ftp://ftp.gnu.org/gnu/aspell/dict/ml/aspell6-ml-0.03-1.tar.bz2
mn, Mongolian, Монгол, ftp://ftp.gnu.org/gnu/aspell/dict/mn/aspell6-mn-0.06-2.tar.bz2
mr, Marathi, मराठी, ftp://ftp.gnu.org/gnu/aspell/dict/mr/aspell6-mr-0.10-0.tar.bz2
ms, Malay, , ftp://ftp.gnu.org/gnu/aspell/dict/ms/aspell-ms-0.50-0.tar.bz2
mt, Maltese, , ftp://ftp.gnu.org/gnu/aspell/dict/mt/aspell-mt-0.50-0.tar.bz2
nb, Norwegian Bokmal, , ftp://ftp.gnu.org/gnu/aspell/dict/nb/aspell-nb-0.50.1-0.tar.bz2
nds, Low Saxon, Plattdüütsch, ftp://ftp.gnu.org/gnu/aspell/dict/nds/aspell6-nds-0.01-0.tar.bz2
nl, Dutch, , ftp://ftp.gnu.org/gnu/aspell/dict/nl/aspell-nl-0.50-2.tar.bz2
nn, Norwegian Nynorsk, , ftp://ftp.gnu.org/gnu/aspell/dict/nn/aspell-nn-0.50.1-1.tar.bz2
ny, Chichewa, , ftp://ftp.gnu.org/gnu/aspell/dict/ny/aspell5-ny-0.01-0.tar.bz2
or, Oriya, ଓଡ଼ିଆ, ftp://ftp.gnu.org/gnu/aspell/dict/or/aspell6-or-0.03-1.tar.bz2
pa, Punjabi, ਪੰਜਾਬੀ, ftp://ftp.gnu.org/gnu/aspell/dict/pa/aspell6-pa-0.01-1.tar.bz2
pl, Polish, polski, ftp://ftp.gnu.org/gnu/aspell/dict/pl/aspell6-pl-6.0_20061121-0.tar.bz2
pt_BR, Brazilian Portuguese, Português do Brasil, ftp://ftp.gnu.org/gnu/aspell/dict/pt_BR/aspell6-pt_BR-20090702-0.tar.bz2
pt_PT, Portuguese, português, ftp://ftp.gnu.org/gnu/aspell/dict/pt_PT/aspell6-pt_PT-20070510-0.tar.bz2
qu, Quechua, Runasimi (qheshwa), ftp://ftp.gnu.org/gnu/aspell/dict/qu/aspell6-qu-0.02-0.tar.bz2
ro, Romanian, Română, ftp://ftp.gnu.org/gnu/aspell/dict/ro/aspell5-ro-3.3-2.tar.bz2
ru, Russian, Русский, ftp://ftp.gnu.org/gnu/aspell/dict/ru/aspell6-ru-0.99f7-1.tar.bz2
rw, Kinyarwanda, , ftp://ftp.gnu.org/gnu/aspell/dict/rw/aspell-rw-0.50-0.tar.bz2
sc, Sardinian, , ftp://ftp.gnu.org/gnu/aspell/dict/sc/aspell5-sc-1.0.tar.bz2
sk, Slovak, Slovenský, ftp://ftp.gnu.org/gnu/aspell/dict/sk/aspell6-sk-2.01-2.tar.bz2
sl, Slovenian, , ftp://ftp.gnu.org/gnu/aspell/dict/sl/aspell-sl-0.50-0.tar.bz2
sr, Serbian, Српски, ftp://ftp.gnu.org/gnu/aspell/dict/sr/aspell6-sr-0.02.tar.bz2
sv, Swedish, , ftp://ftp.gnu.org/gnu/aspell/dict/sv/aspell-sv-0.51-0.tar.bz2
sw, Swahili, Kiswahili, ftp://ftp.gnu.org/gnu/aspell/dict/sw/aspell-sw-0.50-0.tar.bz2
ta, Tamil, தமிழ், ftp://ftp.gnu.org/gnu/aspell/dict/ta/aspell6-ta-20040424-1.tar.bz2
te, Telugu, తెలుగు, ftp://ftp.gnu.org/gnu/aspell/dict/te/aspell6-te-0.01-2.tar.bz2
tet, Tetum, , ftp://ftp.gnu.org/gnu/aspell/dict/tet/aspell5-tet-0.1.1.tar.bz2
tk, Turkmen, , ftp://ftp.gnu.org/gnu/aspell/dict/tk/aspell5-tk-0.01-0.tar.bz2
tl, Tagalog, Tagalog, ftp://ftp.gnu.org/gnu/aspell/dict/tl/aspell5-tl-0.02-1.tar.bz2
tn, Setswana, , ftp://ftp.gnu.org/gnu/aspell/dict/tn/aspell5-tn-1.0.1-0.tar.bz2
tr, Turkish, , ftp://ftp.gnu.org/gnu/aspell/dict/tr/aspell-tr-0.50-0.tar.bz2
uk, Ukrainian, Українська, ftp://ftp.gnu.org/gnu/aspell/dict/uk/aspell6-uk-1.4.0-0.tar.bz2
uz, Uzbek, Ўзбекча, ftp://ftp.gnu.org/gnu/aspell/dict/uz/aspell6-uz-0.6-0.tar.bz2
vi, Vietnamese, Việt ngữ, ftp://ftp.gnu.org/gnu/aspell/dict/vi/aspell6-vi-0.01.1-1.tar.bz2
wa, Walloon, walon, ftp://ftp.gnu.org/gnu/aspell/dict/wa/aspell-wa-0.50-0.tar.bz2
yi, Yiddish, ייִדיש, ftp://ftp.gnu.org/gnu/aspell/dict/yi/aspell6-yi-0.01.1-1.tar.bz2
zu, Zulu, , ftp://ftp.gnu.org/gnu/aspell/dict/zu/aspell-zu-0.50-0.tar.bz2
